Æò±Õ±â¿Â,Æò±Õ½Àµµ,Æò±ÕÇ³¼Ó,Ã¼°¨¿Âµµ,Æò±ÕÀü¿î·®,½Ã±º±¸,¿äÀÏ,Diff,SUM
8.199999809,77,1.5,7.686981696,2.4,20,2,7.400000095,811
8.800000191,50.70000076,0.699999988,9.457253143,2.4,21,2,7.900000095,522
7.699999809,76.40000153,0.800000012,8.089204938,2.4,22,2,7.69999981,582
9,71.40000153,0.200000003,11.20610597,2.4,23,2,7.099999905,385
8.800000191,72.80000305,1.100000024,8.822213127,2.4,24,2,8.10000038,379
7.800000191,77,0.899999976,8.024015775,8.1,1,3,7.900000095,1158
8.300000191,79.30000305,1.200000048,8.141783862,8.1,2,3,9.60000038,780
8.199999809,80.5,1.100000024,8.162264663,8.1,3,3,8.800000189,547
8.399999619,80.69999695,2.700000048,6.957317766,8.1,4,3,9.69999981,1353
9.100000381,67,0.800000012,9.597254686,8.1,5,3,7.300000189,863
8.699999809,76.30000305,1.600000024,8.149318838,8.1,6,3,9.30000019,271
8.899999619,76.5,3.700000048,7.008652347,8.1,7,3,6.39999962,509
9.300000191,73.19999695,2.400000095,8.199723446,8.1,8,3,7.699999809,345
8.300000191,82.40000153,0.5,9.380041306,8.1,9,3,9.300000191,701
7.099999905,83.90000153,0.200000003,9.325227896,8.1,10,3,11.39999986,253
8.199999809,78.5,2.099999905,7.145739444,8.1,11,3,8.999999525,488
8.899999619,78.19999695,2.5,7.668999513,8.1,12,3,7.000000001,396
8.300000191,80.19999695,1.399999976,7.906414418,8.1,13,3,10.39999986,582
9.5,68.59999847,5.199999809,7.139751528,8.1,14,3,5.799999715,692
9.100000381,76.19999695,1.299999952,8.910073091,8.1,15,3,8.60000038,811
8,79.30000305,2,6.996797428,8.1,16,3,9.900000095,448
8.199999809,78.90000153,1,8.303932307,8.1,17,3,8.299999715,622
8,80.19999695,0.800000012,8.412358529,8.1,18,3,10.9000001,913
9.199999809,76.59999847,1.799999952,8.534378538,8.1,19,3,8.800000189,315
8.800000191,78.19999695,1.700000048,8.168512481,8.1,20,3,9.400000095,855
8.600000381,50.79999924,2.400000095,7.387426927,8.1,21,3,8.400000095,586
9,74,2.700000048,7.659432425,8.1,22,3,8.699999811,673
9.300000191,73.80000305,1.100000024,9.37216983,8.1,23,3,7.400000095,394
8.300000191,77,2.099999905,7.260695716,8.1,24,3,7.89999962,469
7,90.90000153,1.5,6.339231654,9.8,1,4,9.200000048,1119
7.5,91.90000153,2.900000095,5.776880712,9.8,2,4,9.099999668,728
7,94,1.600000024,6.231561856,9.8,3,4,8.599999905,587
7.199999809,94,2.5,5.690557915,9.8,4,4,9.30000019,1387
7.599999905,81.19999695,2.299999952,6.300489494,9.8,5,4,10.4000001,774
7.599999905,90.90000153,2.299999952,6.300489494,9.8,6,4,8.999999762,328
7.300000191,91.90000153,3.599999905,5.144423644,9.8,7,4,10.29999972,501
7.699999809,87.19999695,3.299999952,5.7807129,9.8,8,4,10.09999991,310
7.599999905,92.5,1.600000024,6.90841723,9.8,9,4,8.299999715,781
6.800000191,92.19999695,0.800000012,7.119745193,9.8,10,4,8.099999905,304
7.199999809,92.30000305,2.900000095,5.424020397,9.8,11,4,8.899999858,411
